id	movie_id	provider_name
0	637649	wavve
1	770254	Netflix
2	876716	Disney Plus
3	745881	Netflix
4	765119	Netflix
5	198663	Disney Plus
6	1930	Watcha
7	482373	Netflix
8	99861	Disney Plus
9	926980	Netflix
10	895001	Netflix
11	581726	wavve
12	839436	wavve
13	691683	Disney Plus
14	610150	Disney Plus
15	458576	Netflix
16	507086	Netflix
17	637649	wavve
18	770254	Netflix
19	876716	Disney Plus
20	745881	Netflix
21	765119	Netflix
22	198663	Disney Plus
23	1930	Watcha
24	482373	Netflix
25	99861	Disney Plus
26	926980	Netflix
27	895001	Netflix
28	581726	wavve
29	839436	wavve
30	691683	Disney Plus
31	610150	Disney Plus
32	458576	Netflix
33	507086	Netflix
34	637649	wavve
35	770254	Netflix
36	876716	Disney Plus
37	745881	Netflix
38	765119	Netflix
39	198663	Disney Plus
40	1930	Watcha
41	482373	Netflix
42	99861	Disney Plus
43	926980	Netflix
44	895001	Netflix
45	581726	wavve
46	839436	wavve
47	691683	Disney Plus
48	610150	Disney Plus
49	458576	Netflix
50	507086	Netflix
51	637649	wavve
52	770254	Netflix
53	876716	Disney Plus
54	745881	Netflix
55	765119	Netflix
56	198663	Disney Plus
57	1930	Watcha
58	482373	Netflix
59	99861	Disney Plus
60	926980	Netflix
61	895001	Netflix
62	581726	wavve
63	839436	wavve
64	691683	Disney Plus
65	610150	Disney Plus
66	458576	Netflix
67	507086	Netflix
